Name,Grade,Week.1.Attendance,Week.2.Attendance,Week.3.Attendance,Week.4.Attendance,Week.5.Attendance,Pre.Assessment.Score,Post.Assessment.Score
Anahi,7,TRUE,FALSE,TRUE,FALSE,FALSE,0.6,0.5
Quentin,7,TRUE,FALSE,TRUE,FALSE,FALSE,0.1,0.4
Simon,7,FALSE,TRUE,TRUE,TRUE,TRUE,0.6,0.6
Selah,6,FALSE,TRUE,FALSE,TRUE,TRUE,0.3,0.6
Camron,7,FALSE,FALSE,TRUE,FALSE,TRUE,0.4,0.8
Vaughn,6,FALSE,FALSE,TRUE,FALSE,TRUE,0.4,0.5
Bianca,7,TRUE,TRUE,TRUE,TRUE,TRUE,0.6,0.6
Niko,6,FALSE,TRUE,FALSE,TRUE,FALSE,0.6,0.8
Moshe,6,TRUE,TRUE,FALSE,FALSE,TRUE,0.4,0.5
Aleena,8,TRUE,TRUE,FALSE,TRUE,FALSE,0.2,0.7
Irvin,7,TRUE,TRUE,TRUE,FALSE,FALSE,0.6,0.6
Mitchell,8,TRUE,TRUE,TRUE,TRUE,TRUE,0.5,0.8
Jeramiah,7,FALSE,TRUE,TRUE,FALSE,FALSE,0.7,0.8
Joseph,8,TRUE,TRUE,FALSE,FALSE,TRUE,0.7,0.8
Matteo,6,FALSE,TRUE,TRUE,TRUE,FALSE,0.4,0.5
Campbell,8,TRUE,TRUE,FALSE,TRUE,TRUE,0.7,0.8
Daphne,6,TRUE,TRUE,FALSE,TRUE,TRUE,0.6,0.8
Cayden,8,TRUE,TRUE,FALSE,FALSE,FALSE,0.5,0.8
Skyler,6,TRUE,TRUE,FALSE,TRUE,TRUE,0.4,0.6
Logan,7,FALSE,FALSE,TRUE,TRUE,FALSE,0.7,0.8
Sienna,7,FALSE,TRUE,TRUE,FALSE,TRUE,0.6,0.5
Mariela,8,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,0.7
Samara,6,FALSE,TRUE,TRUE,TRUE,TRUE,0.4,0.6
Isai,6,TRUE,FALSE,TRUE,TRUE,FALSE,0.3,0.6
Allen,6,FALSE,TRUE,FALSE,FALSE,TRUE,0.4,0.5
Brisa,7,TRUE,TRUE,TRUE,TRUE,TRUE,0.3,0.6
Miles,7,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,0.4
London,8,TRUE,TRUE,FALSE,FALSE,TRUE,0.7,0.8
Lyla,7,FALSE,TRUE,TRUE,FALSE,TRUE,0.4,0.8
Kate,7,FALSE,TRUE,TRUE,TRUE,TRUE,0.4,0.8
