Name,Grade,Week.1.Attendance,Week.2.Attendance,Week.3.Attendance,Week.4.Attendance,Week.5.Attendance,Pre.Assessment.Score,Post.Assessment.Score
Damian,7,TRUE,TRUE,TRUE,TRUE,FALSE,0.4,0.5
Mareli,6,TRUE,TRUE,FALSE,FALSE,FALSE,0.4,0.6
Giovani,7,FALSE,TRUE,FALSE,TRUE,FALSE,0.3,0.6
Karter,7,TRUE,FALSE,TRUE,TRUE,FALSE,0.6,0.5
Aliyah,6,TRUE,TRUE,TRUE,TRUE,FALSE,0.1,0.4
Asa,7,FALSE,TRUE,TRUE,TRUE,TRUE,0.5,0.9
Jaylan,6,TRUE,TRUE,TRUE,TRUE,FALSE,0.4,0.8
Kayden,7,TRUE,TRUE,TRUE,TRUE,TRUE,0.3,0.6
Karly,6,TRUE,TRUE,TRUE,TRUE,FALSE,0.3,0.3
Jayden,7,TRUE,TRUE,FALSE,TRUE,TRUE,0.6,0.7
Daisy,7,FALSE,TRUE,TRUE,TRUE,FALSE,0.1,0.4
Janessa,6,TRUE,TRUE,FALSE,FALSE,TRUE,0.3,0.4
