Name,Grade,Week.1.Attendance,Week.2.Attendance,Week.3.Attendance,Week.4.Attendance,Week.5.Attendance,Pre.Assessment.Score,Post.Assessment.Score
Ronan,7,TRUE,TRUE,TRUE,TRUE,TRUE,0.3,0.4
Kaleb,6,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,0.5
Bradyn,7,FALSE,TRUE,TRUE,FALSE,FALSE,0.6,0.6
Ann,7,TRUE,FALSE,TRUE,FALSE,TRUE,0.6,0.6
Thomas,6,FALSE,FALSE,FALSE,TRUE,FALSE,0.4,0.5
Marin,7,FALSE,TRUE,TRUE,TRUE,TRUE,0.1,0.4
Jaslene,7,FALSE,FALSE,TRUE,TRUE,FALSE,0.3,0.6
Londyn,6,FALSE,TRUE,TRUE,FALSE,FALSE,0.4,0.5
Benjamin,8,TRUE,TRUE,TRUE,TRUE,FALSE,0.7,0.8
Ismael,7,TRUE,TRUE,FALSE,FALSE,TRUE,0.7,0.8
Macy,7,TRUE,FALSE,TRUE,FALSE,TRUE,0.6,0.7
Caleb,6,TRUE,TRUE,TRUE,FALSE,FALSE,0.4,0.5
Kennedi,6,FALSE,TRUE,TRUE,TRUE,TRUE,0.5,0.9
Edwin,7,TRUE,TRUE,FALSE,TRUE,FALSE,0.7,0.8
Deandre,7,FALSE,TRUE,TRUE,FALSE,TRUE,0.4,0.8
Janiyah,6,TRUE,FALSE,TRUE,TRUE,FALSE,0.6,0.8
Mattie,7,FALSE,TRUE,TRUE,FALSE,TRUE,0.6,0.5
Alma,6,FALSE,TRUE,FALSE,TRUE,FALSE,0.6,0.8
Rylie,8,TRUE,TRUE,FALSE,TRUE,TRUE,0.5,0.8
Aliyah,7,TRUE,TRUE,TRUE,TRUE,TRUE,0.1,0.4
